,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
29,,,84939,0,0,0,0,0,4,2.7,,0,Danny,0.0,30,False,,,70,84939.jpg,3.5,Ings,1.8,False,,a,2,7,106,0,0,0,0,0.0,15.1,Ings,1891,7,6,10,26,0,0,0,4,0,0,12,344,448.6,210.9,749.0,140.3,136,13,161,20,38,15,70,15,,,,,2.0,
30,,,98980,0,0,0,0,0,1,3.6,,0,Emiliano,0.0,31,False,,,50,98980.jpg,3.6,Martínez Romero,4.7,False,,a,2,7,129,0,0,0,0,0.0,25.8,Martínez,3240,0,0,11,48,0,1,0,4,0,95,7,651,755.8,0.0,0.0,75.4,30,9,469,50,464,46,199,10,,,,,,
31,,,101184,0,0,0,0,0,2,2.3,,0,Calum,0.0,32,False,,,45,101184.jpg,3.2,Chambers,0.2,False,,a,2,7,42,0,0,0,0,0.0,9.3,Chambers,999,1,0,4,16,0,0,0,1,0,0,2,198,250.6,53.1,63.0,36.7,232,91,278,105,278,106,279,104,,,,,,
32,,,101188,0,0,0,0,0,2,2.8,,0,Lucas,0.0,33,False,,,50,101188.jpg,2.9,Digne,3.9,False,,a,2,7,83,0,0,0,0,0.0,16.6,Digne,2440,0,4,7,42,1,0,0,6,0,0,8,459,538.8,772.7,202.0,151.6,101,38,16,4,176,47,59,8,1.0,,4.0,,,
33,,,110504,0,0,0,0,0,3,2.0,,0,Bertrand,0.0,34,False,,,50,110504.jpg,1.4,Traoré,0.2,False,,a,2,7,13,0,0,0,0,0.0,2.6,Traoré,212,0,1,0,3,0,0,0,0,0,0,0,41,21.0,10.6,90.0,11.8,356,153,335,159,255,130,332,148,,,,,,
34,,,111782,0,0,0,0,0,1,1.5,,0,Robin,0.0,35,False,,,40,111782.jpg,1.0,Olsen,3.0,False,,a,2,7,1,0,0,0,0,0.0,0.2,Olsen,90,0,0,0,3,0,0,0,0,0,2,0,14,18.8,0.0,0.0,1.9,361,33,376,25,358,13,373,33,,,,,,
35,,,122775,0,0,0,0,0,3,1.5,,0,Morgan,0.0,36,False,,,45,122775.jpg,1.3,Sanson,0.3,False,,a,2,7,13,0,0,0,0,0.0,2.9,Sanson,349,0,0,0,8,0,0,0,0,0,0,0,61,52.8,36.6,3.0,9.4,334,145,295,147,330,160,337,152,,,,,,
36,,,122806,0,0,0,0,0,3,2.5,,0,John,0.0,37,False,,,55,122806.jpg,3.1,McGinn,1.7,False,,a,2,7,110,0,0,0,0,0.0,20.0,McGinn,3090,3,4,10,48,0,0,0,8,0,0,12,495,700.2,777.8,307.0,178.6,48,18,15,12,124,71,40,27,3.0,,,,,
37,,,123354,0,0,0,0,0,2,2.3,,0,Kortney,0.0,38,False,,,45,123354.jpg,2.9,Hause,0.1,False,,a,2,7,20,0,0,0,0,0.0,4.4,Hause,397,1,0,1,9,0,0,0,0,0,0,3,89,102.8,5.9,64.0,17.3,309,124,342,133,277,105,319,124,,,,,,
38,,,149484,0,0,0,0,0,2,2.3,,0,Tyrone,0.0,39,False,,,45,149484.jpg,3.3,Mings,6.9,False,,a,2,7,118,0,0,0,0,0.0,26.2,Mings,3188,1,4,11,49,0,0,0,11,0,0,12,596,667.2,130.9,309.0,110.6,56,19,217,66,123,22,116,29,,,,,,
39,,,178301,0,0,0,0,0,4,2.9,,0,Ollie,0.0,40,False,,,75,178301.jpg,3.7,Watkins,4.5,False,,a,2,7,131,0,0,0,0,0.0,17.5,Watkins,2950,11,3,10,48,0,0,0,7,0,0,17,441,613.8,469.6,1345.0,242.9,70,7,67,8,6,4,20,6,,,,,3.0,
40,,,184704,0,0,0,0,0,3,1.5,,0,Marvelous,0.0,41,False,,,45,184704.jpg,1.4,Nakamba,0.2,False,,a,2,7,22,0,0,0,0,0.0,4.9,Nakamba,899,0,0,2,20,0,0,0,5,0,0,0,124,139.2,42.2,0.0,18.3,297,128,289,143,419,175,317,143,,,,,,
41,,,195546,0,0,0,0,0,3,2.6,,0,Emiliano,0.0,42,False,,,60,195546.jpg,3.1,Buendía Stati,0.7,False,,a,2,7,107,0,0,0,0,0.0,17.8,Buendía,1887,4,6,7,32,0,0,0,1,0,0,8,378,482.8,660.5,531.0,167.8,114,45,28,20,62,37,49,32,,,,,,
42,,,199796,0,0,0,0,0,2,2.8,,0,Matty,0.0,43,False,,,50,199796.jpg,3.9,Cash,20.9,False,,a,2,7,147,0,0,0,0,0.0,29.4,Cash,3377,4,3,13,50,0,0,0,8,0,0,11,623,754.8,432.1,534.0,172.1,31,7,78,15,60,3,46,6,,,,,,
43,0.0,,199798,0,0,0,0,0,2,0.0,,0,Ezri,0.0,44,False,Knee injury - Expected back 04 Sep,2022-07-05T15:30:04.118376Z,45,199798.jpg,2.7,Konsa Ngoyo,0.0,False,,i,2,7,78,0,0,0,0,0.0,17.3,Konsa,2477,2,0,8,43,0,0,0,4,2,0,4,388,428.2,56.5,251.0,73.4,144,59,276,103,152,34,204,68,,,,,,
44,,,215711,0,0,0,0,0,3,2.0,,0,Leon,0.0,45,False,,,50,215711.jpg,2.1,Bailey,1.5,False,,a,2,7,37,0,0,0,0,0.0,7.4,Bailey,750,1,3,2,13,0,0,0,3,0,0,1,98,143.2,118.5,271.0,53.2,294,126,224,127,142,82,253,113,,,3.0,,,
45,,,230046,0,0,0,0,0,3,2.0,,0,Douglas Luiz,0.0,46,False,,,50,230046.jpg,2.6,Soares de Paulo,0.9,False,,a,2,7,89,0,0,0,0,0.0,17.8,Douglas Luiz,2715,2,3,10,38,0,0,0,7,0,0,3,468,503.2,547.9,199.0,125.1,108,41,45,33,180,99,89,54,2.0,,2.0,,,
46,,,232653,0,0,0,0,0,3,2.5,,0,Jacob,0.0,47,False,,,55,232653.jpg,3.2,Ramsey,3.9,False,,a,2,7,109,0,0,0,0,0.0,19.8,Ramsey,2465,6,1,12,35,0,0,0,6,0,0,9,402,538.2,334.0,432.0,130.7,102,37,108,74,89,52,81,50,,,,,,
47,,,478912,0,0,0,0,0,3,1.5,,0,Carney,0.0,48,False,,,45,478912.jpg,1.3,Chukwuemeka,1.0,False,,a,2,7,16,0,0,0,0,0.0,3.6,Chukwuemeka,291,0,1,0,6,0,0,0,0,0,0,0,43,44.0,34.6,69.0,14.9,340,147,297,148,269,138,325,145,,,,,,
48,,,490094,0,0,0,0,0,3,1.5,,0,Tim,0.0,49,False,,,45,490094.jpg,1.3,Iroegbunam,0.0,False,,a,2,7,4,0,0,0,0,0.0,0.9,Iroegbunam,90,0,0,1,0,0,0,0,1,0,0,0,17,10.6,2.0,4.0,1.7,369,159,349,165,329,159,374,163,,,,,,
